Comment,Designator,Footprint,JLCPCB Part #
DRV8874PWPR,"U2,U3,U1,U5,U4",PWP0016J_L,C1855818
TPS7A1633DGNR,U9,MSOP-8-1EP_3x3mm_P0.65mm_EP1.5x1.8mm,C181239
R 249k Ohm,R42,R_0805_2012Metric,C218450
0.1uF,"C32,C5,C43,C40,C56,C57,C19,C23,C54,C55,C10,C7,C20,C3,C37,C6,C22,C52,C17,C18,C35,C8,C46,C9,C30,C21,C15,C49,C16",C_0603_1608Metric,C14663
22nF,"C27,C28,C25,C24,C26",C_0402_1005Metric,C1532
R 100k Ohm,"R3,R1,R8,R6,R45,R31,R9,R40,R7,R2,R4,R5,R10",R_0805_2012Metric,C25611
D_Schottky,D2,D_SMB,C22452
R 24k Ohm,R39,R_0805_2012Metric,C17575
R 100 Ohm,R47,R_0805_2012Metric,C22775
Conn_01x02_Pin,"J9,J13,J18,J16,J5,J6,J4,J14,J11,J8,J2,J17,J15,J12,J3",AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,C428721
R 10k Ohm,"R48,R37,R23,R11,R15,R26,R18,R49,R22,R19,R35,R50,R34,R27,R30,R14,R46",R_0805_2012Metric,C17414
R 20k Ohm,"R13,R25,R21,R17,R29",R_0805_2012Metric,C4328
22uF,"C38,C48,C34,C51",C_1206_3216Metric,C12891
100uF,"C4,C13,C14,C12,C11,C1",CP_Elec_6.3x7.7,C3338
R 680 Ohm,"R12,R20,R16,R24,R28",R_0805_2012Metric,C17798
R 1k Ohm,R33,R_0805_2012Metric,C702831
10uF,"C29,C45,C53",C_0805_2012Metric,C15850
Conn_01x04_Pin,J19,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,C160390
Conn_02x20_Odd_Even,J1,PinHeader_2x20_P2.54mm_Vertical,C5224014
Conn_01x03,J7,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C146133
R 12.5m Ohm,R36,R_2512_6332Metric,C5375465
TestPoint,"TP2,TP3,TP6,TP1,TP4,TP5",TestPoint_Pad_2.0x2.0mm,
IRLZ44N,Q3,TO-220-3_Vertical,C22367197
4700uF,"C33,C36,C47,C50",CP_Radial_D13.0mm_P5.00mm,C29884
10 nF,C41,C_0603_1608Metric,C57112
R 68 Ohm,"R41,R44",R_0603_1608Metric,C23228
LTC4365DDB,U8,DFN-8-1EP_2x3mm_P0.5mm_EP0.61x2.2mm,C117337
SW_SPST,"FuelGaugeSwitch1,LightSwitch1",SW_SPDT_PCM12,C431540
10k NTC,TH1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
NMOS,"Q1,Q2",TO-220-3_Vertical,C841350
1uF,"C42,C31,C2,C39",C_0805_2012Metric,C15849
MCP3008,U7,SOIC-16_3.9x9.9mm_P1.27mm,C2651321
TCA9517D,U10,SOIC-8_3.9x4.9mm_P1.27mm,C182421
BQ34Z100PWR-R2,U6,TSSOP-14_4.4x5mm_P0.65mm,C7220642
1000uF,C44,CP_Radial_D10.0mm_P5.00mm,C439782
16V_TVS,D1,D_SMB,C113990
Conn_01x04_Pin,J20,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,C504991
R 16.5k Ohm,R43,R_0805_2012Metric,C2930171
R 510k Ohm,R38,R_0805_2012Metric,C17733
Conn_01x01_Pin,J10,PinHeader_1x01_P2.54mm_Vertical,C492400
