"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2,U3,U1,U5,U4";"PWP0016J_L";5;"DRV8874PWPR";;;
2;"U9";"MSOP-8-1EP_3x3mm_P0.65mm_EP1.5x1.8mm";1;"TPS7A1633DGNR";;;
3;"R42";"R_0805_2012Metric";1;"R 249k Ohm";;;
4;"C32,C5,C43,C40,C56,C57,C19,C23,C54,C55,C10,C7,C20,C3,C37,C6,C22,C52,C17,C18,C35,C8,C46,C9,C30,C21,C15,C49,C16";"C_0603_1608Metric";29;"0.1uF";;;
5;"C27,C28,C25,C24,C26";"C_0402_1005Metric";5;"22nF";;;
6;"R3,R1,R8,R6,R45,R31,R9,R40,R7,R2,R4,R5,R10";"R_0805_2012Metric";13;"R 100k Ohm";;;
7;"D2";"D_SMB";1;"D_Schottky";;;
8;"R39";"R_0805_2012Metric";1;"R 24k Ohm";;;
9;"R47";"R_0805_2012Metric";1;"R 100 Ohm";;;
10;"J9,J13,J18,J16,J5,J6,J4,J14,J11,J8,J2,J17,J15,J12,J3";"AMASS_XT30UPB-M_1x02_P5.0mm_Vertical";15;"Conn_01x02_Pin";;;
11;"R48,R37,R23,R11,R15,R26,R18,R49,R22,R19,R35,R50,R34,R27,R30,R14,R46";"R_0805_2012Metric";17;"R 10k Ohm";;;
12;"R13,R25,R21,R17,R29";"R_0805_2012Metric";5;"R 20k Ohm";;;
13;"C38,C48,C34,C51";"C_1206_3216Metric";4;"22uF";;;
14;"C4,C13,C14,C12,C11,C1";"CP_Elec_6.3x7.7";6;"100uF";;;
15;"R12,R20,R16,R24,R28";"R_0805_2012Metric";5;"R 680 Ohm";;;
16;"R33";"R_0805_2012Metric";1;"R 1k Ohm";;;
17;"C29,C45,C53";"C_0805_2012Metric";3;"10uF";;;
18;"J19";"JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical";1;"Conn_01x04_Pin";;;
19;"J1";"PinHeader_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
20;"J7";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"Conn_01x03";;;
21;"R36";"R_2512_6332Metric";1;"R 12.5m Ohm";;;
22;"TP2,TP3,TP6,TP1,TP4,TP5";"TestPoint_Pad_2.0x2.0mm";6;"TestPoint";;;
23;"Q3";"TO-220-3_Vertical";1;"IRLZ44N";;;
24;"C33,C36,C47,C50";"CP_Radial_D13.0mm_P5.00mm";4;"4700uF";;;
25;"C41";"C_0603_1608Metric";1;"10 nF";;;
26;"R41,R44";"R_0603_1608Metric";2;"R 68 Ohm";;;
27;"U8";"DFN-8-1EP_2x3mm_P0.5mm_EP0.61x2.2mm";1;"LTC4365DDB";;;
28;"FuelGaugeSwitch1,LightSwitch1";"SW_SPDT_PCM12";2;"SW_SPST";;;
29;"TH1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"10k NTC";;;
30;"Q1,Q2";"TO-220-3_Vertical";2;"NMOS";;;
31;"C42,C31,C2,C39";"C_0805_2012Metric";4;"1uF";;;
32;"U7";"SOIC-16_3.9x9.9mm_P1.27mm";1;"MCP3008";;;
33;"U10";"SOIC-8_3.9x4.9mm_P1.27mm";1;"TCA9517D";;;
34;"U6";"TSSOP-14_4.4x5mm_P0.65mm";1;"BQ34Z100PWR-R2";;;
35;"C44";"CP_Radial_D10.0mm_P5.00mm";1;"1000uF";;;
36;"D1";"D_SMB";1;"16V_TVS";;;
37;"J20";"Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
38;"R43";"R_0805_2012Metric";1;"R 16.5k Ohm";;;
39;"R38";"R_0805_2012Metric";1;"R 510k Ohm";;;
40;"J10";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01_Pin";;;
