Designator,Mid X,Mid Y,Layer,Rotation
C1,140.45,-112.4,Top,90.0
C2,145.025,-112.725,Top,-90.0
C3,146.8,-112.675,Top,-90.0
C4,155.625,-112.825,Top,90.0
C5,159.9,-112.675,Top,-90.0
C6,170.7,-109.75,Top,0.0
C7,177.05,-89.975,Top,0.0
C8,177.65,-76.025,Top,0.0
C9,177.925,-61.475,Top,0.0
C10,177.875,-47.25,Top,0.0
C11,162.1375,-93.625,Top,180.0
C12,162.1875,-79.525,Top,180.0
C13,162.2625,-64.275,Top,180.0
C14,162.3625,-49.8,Top,180.0
C15,168.225,-94.875,Top,90.0
C16,168.45,-81.675,Top,90.0
C17,168.45,-66.35,Top,90.0
C18,168.025,-51.75,Top,90.0
C19,184.5152,-110.2826,Top,90.0
C20,184.7,-95.375,Top,90.0
C21,184.475,-81.0,Top,90.0
C22,184.475,-66.7,Top,90.0
C23,184.95,-52.525,Top,90.0
C24,183.3152,-108.6076,Top,90.0
C25,183.4,-93.925,Top,90.0
C26,183.275,-79.6,Top,90.0
C27,183.25,-65.2,Top,90.0
C28,183.25,-50.95,Top,90.0
C29,160.0,-39.9375,Top,-90.0
C30,117.5125,-94.275,Top,180.0
C31,132.1875,-77.6,Top,0.0
C32,132.2,-79.45,Top,0.0
C33,111.5,-59.125,Top,90.0
C34,103.6,-59.2,Top,-90.0
C35,97.9,-59.175,Top,90.0
C36,125.0,-59.1402,Top,90.0
C37,103.4625,-98.825,Top,0.0
C38,101.3,-59.175,Top,90.0
C39,103.2375,-100.625,Top,180.0
C40,99.4,-59.175,Top,90.0
C41,93.6,-76.7,Top,90.0
C42,95.35,-76.825,Top,-90.0
C43,126.1875,-76.475,Top,180.0
C44,92.4,-84.4573,Top,270.0
C45,100.15,-84.3073,Top,90.0
C46,98.4,-84.3823,Top,-90.0
C47,135.025,-100.5326,Top,0.0
C48,135.0402,-92.6326,Top,180.0
C49,135.4652,-90.7326,Top,0.0
C50,148.5402,-100.4326,Top,180.0
C51,146.0152,-92.4826,Top,0.0
C52,145.2652,-90.5326,Top,0.0
C53,148.225,-39.475,Top,-90.0
C54,157.975,-40.0,Top,90.0
